id	old	oldid	animal	groupid	group	stage	ra	rm	cm	ihold	rostral	medial	nav	nai	ktv	kti	ksv	ksi	smean	samp	sbend	mono_m	mono_s	poly_m	poly_s	lat_m	lat_s	stepspike	thslope
1	1	A	20151009_1	8	Naive	48	NaN	NaN	NaN	NaN	121	188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	1	B	20151009_1	8	Naive	48	NaN	NaN	NaN	NaN	117	183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	1	C	20151009_1	8	Naive	48	17	1.5	8	-25	144	187	-44.4	204.1	21.4	85.6	-37.7	273	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	1	D	20151009_1	8	Naive	48	25	1.5	7	-15	130	151	-30.9	206.6	16.1	118.2	-37.2	533	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	1	E	20151009_1	8	Naive	48	30	3	6	-16	219	224	-33.5	107.5	9.1	150.5	-34.8	351.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	1	F	20151009_1	8	Naive	48	30	3.5	9	-13	124	174	-44	250.9	31.7	82.5	-31.4	560.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	1	G	20151020_2	8	Naive	48	30	2.5	9	-7	167	114	-32.9	314	15.4	569	-33.9	311.8	0.75	0.34375	-0.083333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	1	H	20151020_2	8	Naive	48	40	4.5	7	-8	133	160	-23.3	208.6	20.4	106.5	-13	133	0.666666667	0.40625	-0.083333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	1	I	20151020_2	8	Naive	48	65	3.5	4	-8	138	151	-21.5	176	22.6	56	-17.9	160.8	0.25	0.34375	-0.083333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	1	J	20151020_2	8	Naive	48	25	2.5	9	-11	118	110	-20.1	346.7	14.9	505.2	-21.5	454.1	0.645833333	0.46875	-0.0625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11	1	K	20151020_2	8	Naive	48	55	1	8	-18	132	133	-30.5	385	8.6	765	-20	312.8	1.166666667	0.96875	0.041666667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12	1	L	20151025_3	8	Naive	48	100	5	6	-8.5	68	260	-11.7	167.4	21.1	247.9	-6.6	561.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13	1	M	20151025_3	8	Naive	48	35	3	3	-16	88	283	-10.2	126.6	29.4	100.7	-13.7	192.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
14	1	N	20151025_3	8	Naive	48	45	4	7	-8	67	281	-13.1	162.2	26.6	142.6	-6.5	260.7	0.25	0.34375	-0.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15	1	O	20151025_3	8	Naive	48	32	5.5	9	-6.5	83	271	-11.7	152.3	27.1	272.7	-5.3	453	0.0625	0.09375	-0.020833333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16	1	P	20151025_3	8	Naive	48	30	2.3	7	-15	209	324	-9.7	135.8	21.5	116.1	-3.6	228.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17	1	Q	20151027_4	8	Naive	48	25	3.5	10	-10	198	249	-22.3	168.8	9.5	483.4	-12.6	473.7	0.354166667	0.34375	-0.0625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18	1	R	20151027_4	8	Naive	48	32	4.5	9	-6	208	229	-21.4	269.2	15.3	376.8	-10	314.6	0.395833333	0.46875	-0.145833333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
19	1	S	20151027_4	8	Naive	48	40	4	8	-10.5	222	186	-23.1	287	17.5	202.2	-14.5	229.5	0.479166667	0.46875	-0.0625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20	1	T	20151027_4	8	Naive	48	45	2	7	-21	180	252	-20.4	112.4	11.8	248.8	-13.5	331.5	0.354166667	0.4375	-0.0625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21	1	U	20151027_4	8	Naive	48	42	4	7	-9	195	258	-20.9	100.8	15.4	311.6	-12.7	487.7	0.833333333	0.8125	-0.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
22	1	V	20151027_4	8	Naive	48	25	5.6	6	-25	213	221	-13	126.6	16.1	94.5	-5.4	164.7	0.083333333	0.125	-0.083333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
23	1	W	20151027_4	8	Naive	48	40	3.9	6	-7.5	190	290	-13.2	70.1	14	113.1	-11.5	153.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
24	1	X	20151027_4	8	Naive	48	16	4.5	9	-8	194	119	-14	154.4	27	153.5	-18.2	212.8	0.604166667	0.46875	-0.104166667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25	1	Y	20151027_4	8	Naive	48	31	4.7	7	-5.5	187	131	-12.6	206.8	24.2	268.2	-11.8	245.6	0.395833333	0.4375	-0.145833333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
26	1	Z	20151027_4	8	Naive	48	44	3.8	7	-14	178	135	-13.4	116.4	9	152.4	-24.5	168.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
27	1	A1	20151106_5	8	Naive	49	30	2.5	8	-10	93	210	-20.6	176.3	13.7	461.6	-13.5	330.1	1.416666667	1.85	0.183333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28	1	B1	20151106_5	8	Naive	49	33	2.4	7	-7	129	113	-11.9	283	23.5	638.8	-17.2	642	1.566666667	0.725	-0.133333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29	1	C1	20151106_5	8	Naive	49	53	2.3	7	-11	120	126	-16.8	285.5	23.9	549	-17.6	580.8	8.533333333	6.45	0.766666667	-1.114875	1.129204	-3.880509	1.188978	366.399983	4.3	1	0.033073
30	1	D1	20151106_5	8	Naive	49	24	2.5	10	-8	178	138	-12.1	236.1	23.2	214.8	-20.5	204	0.666666667	0.55	-1.29E-16	-0.201857	0.85735	-0.245331	0.619302	359.899983	25.499999	1	0.11802
31	1	E1	20151106_5	8	Naive	49	45	2.1	8	-11	133	130	-18.2	305.5	22.4	443.4	-13.1	488.9	3.35	3.625	0.783333333	-0.833401	0.967301	-5.885141	1.561121	336.899984	12.6	2	0.11334
32	1	F1	20151106_5	8	Naive	49	22	1.3	9	-22	145	146	-30.2	554.6	28.9	891	-12.8	709.4	1.15	0.7	-0.083333333	-0.858256	0.908245	-4.243202	0.7617	343.799984	13	2	0.122438
33	1	G1	20151107_6	8	Naive	49	35	2.6	7	-7	120	114	-10.8	57.3	23.8	219.8	-6.3	317.6	0.666666667	0.5	-0.066666667	0.013767	0.275522	-0.142776	0.158869	351.599984	22.299999	1	0.307646
34	1	H1	20151107_6	8	Naive	49	35	3	7	-5	116	104	-22.6	174.8	22.3	292.6	-12.1	382.4	0.983333333	0.475	-0.15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.122235
35	1	I1	20151107_6	8	Naive	49	53	3.6	10	-5.5	95	96	-18.2	864.8	-60	0	-10.8	2748.7	5.583333333	2.1	-0.316666667	-0.300022	0.839079	-0.102204	0.493371	332.699984	23.099999	3	0.16433
36	1	J1	20151107_6	8	Naive	49	32	4.5	8	-12	109	85	-18.4	156	28.1	285	-6.4	463	0.683333333	0.65	-0.116666667	0.065375	0.209981	-0.242956	0.335148	362.999983	19.799999	1	0.088612
37	1	K1	20151107_6	8	Naive	49	31	3.2	9	-7	120	97	-13.4	237.3	24	342	-7.5	369.2	1.216666667	0.725	-0.15	0.073513	0.260473	-0.144399	0.272354	401.999982	35.999999	1	0.050058
38	1	L1	20151113_7	8	Naive	49	20	4.6	7	-13	147	153	-12.7	170.5	24	262.7	-12.9	322.1	1.466666667	1.3	-0.1	-0.594991	0.586721	-0.335665	0.413677	345.199984	26.699999	1	0.026181
39	1	M1	20151113_7	8	Naive	49	30	3.2	7	-10.5	159	150	-13.6	203.1	12.9	348.2	-10.2	305.9	1.533333333	1.05	1.00E-16	-3.235304	2.378457	-0.623742	0.51554	332.099984	28.499999	1	0.069468
40	1	N1	20151113_7	8	Naive	49	45	2.7	6	-8	153	139	-19.8	241.9	24.9	544.2	-5.2	759.8	3.516666667	3.375	-0.316666667	-0.350613	0.70989	-1.451923	0.445881	362.499983	42.999999	1	0.121253
41	1	O1	20151113_7	8	Naive	49	32	5.2	7	-8	158	161	-22.4	201.2	18.9	131	-15.2	177	0.333333333	0.45	-0.033333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.048753
42	1	P1	20151113_8	8	Naive	49	21	2.4	7	-10	185	183	-17.4	235.2	20	357	-14.2	472.4	0.75	0.875	0.183333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.037363
43	1	Q1	20151113_8	8	Naive	49	31	5.2	6	-7	189	170	-20.4	145.2	29.8	138.2	-15.3	296.4	1.233333333	0.85	-0.133333333	0.394728	1.042383	0.371689	0.926541	371.399983	57.199999	1	0.118275
44	1	R1	20151113_8	8	Naive	49	23	2.6	6	-7.5	168	123	-18.2	252.5	22	403.2	-10.4	322.2	4.783333333	1.45	0.35	-0.295139	1.050052	-0.046243	0.335787	342.299984	29.699999	1	0.019259
