Cell	Sweep	Spikes
103	1	0
103	2	0
103	3	0
103	4	0
103	5	0
103	6	0
103	7	1
103	8	0
103	9	1
103	10	1
103	11	1
103	12	1
103	13	0
103	14	0
103	15	0
103	16	0
103	17	0
103	18	0
103	19	0
103	20	0
103	21	1
103	22	1
103	23	1
103	24	1
103	25	0
103	26	0
103	27	0
103	28	0
103	29	0
103	30	0
103	31	1
103	32	0
103	33	1
103	34	1
103	35	1
103	36	1
103	37	0
103	38	0
103	39	0
103	40	0
103	41	0
103	42	0
103	43	0
103	44	0
103	45	0
103	46	1
103	47	1
103	48	1
103	49	0
103	50	0
103	51	0
103	52	0
103	53	0
103	54	1
103	55	1
103	56	0
103	57	1
103	58	1
103	59	1
103	60	1
104	1	0
104	2	0
104	3	0
104	4	0
104	5	0
104	6	1
104	7	1
104	8	2
104	9	1
104	10	1
104	11	3
104	12	1
104	13	0
104	14	0
104	15	0
104	16	0
104	17	0
104	18	1
104	19	1
104	20	1
104	21	1
104	22	2
104	23	1
104	24	1
104	25	0
104	26	0
104	27	0
104	28	0
104	29	0
104	30	1
104	31	1
104	32	1
104	33	1
104	34	1
104	35	2
104	36	1
104	37	0
104	38	0
104	39	0
104	40	0
104	41	0
104	42	1
104	43	1
104	44	2
104	45	1
104	46	1
104	47	2
104	48	1
104	49	0
104	50	0
104	51	0
104	52	0
104	53	0
104	54	1
104	55	1
104	56	1
104	57	1
104	58	1
104	59	1
104	60	2
105	1	0
105	2	0
105	3	1
105	4	1
105	5	0
105	6	1
105	7	1
105	8	1
105	9	1
105	10	1
105	11	1
105	12	1
105	13	0
105	14	0
105	15	1
105	16	1
105	17	0
105	18	1
105	19	1
105	20	1
105	21	1
105	22	1
105	23	1
105	24	1
105	25	0
105	26	0
105	27	1
105	28	1
105	29	0
105	30	1
105	31	1
105	32	1
105	33	1
105	34	1
105	35	1
105	36	1
105	37	0
105	38	0
105	39	0
105	40	0
105	41	0
105	42	1
105	43	1
105	44	1
105	45	1
105	46	1
105	47	1
105	48	1
105	49	0
105	50	0
105	51	1
105	52	0
105	53	0
105	54	1
105	55	1
105	56	1
105	57	1
105	58	1
105	59	1
105	60	1
107	1	0
107	2	0
107	3	0
107	4	1
107	5	0
107	6	1
107	7	1
107	8	1
107	9	1
107	10	1
107	11	1
107	12	1
107	13	0
107	14	0
107	15	1
107	16	1
107	17	0
107	18	1
107	19	2
107	20	1
107	21	1
107	22	1
107	23	1
107	24	0
107	25	0
107	26	0
107	27	1
107	28	1
107	29	0
107	30	1
107	31	1
107	32	1
107	33	1
107	34	1
107	35	0
107	36	0
107	37	0
107	38	0
107	39	1
107	40	1
107	41	0
107	42	1
107	43	1
107	44	0
107	45	1
107	46	1
107	47	0
107	48	1
107	49	0
107	50	0
107	51	1
107	52	1
107	53	0
107	54	1
107	55	1
107	56	1
107	57	1
107	58	1
107	59	0
107	60	0
108	1	0
108	2	0
108	3	0
108	4	0
108	5	0
108	6	0
108	7	1
108	8	0
108	9	0
108	10	0
108	11	1
108	12	1
108	13	0
108	14	0
108	15	0
108	16	0
108	17	0
108	18	0
108	19	0
108	20	0
108	21	0
108	22	0
108	23	1
108	24	1
108	25	0
108	26	0
108	27	0
108	28	0
108	29	0
108	30	0
108	31	0
108	32	0
108	33	0
108	34	1
108	35	1
108	36	1
108	37	0
108	38	0
108	39	0
108	40	0
108	41	0
108	42	0
108	43	0
108	44	0
108	45	0
108	46	1
108	47	1
108	48	0
108	49	0
108	50	0
108	51	0
108	52	0
108	53	0
108	54	0
108	55	0
108	56	0
108	57	0
108	58	1
108	59	1
108	60	1
109	1	0
109	2	0
109	3	0
109	4	0
109	5	0
109	6	0
109	7	1
109	8	0
109	9	1
109	10	1
109	11	1
109	12	1
109	13	0
109	14	0
109	15	0
109	16	0
109	17	0
109	18	0
109	19	0
109	20	0
109	21	1
109	22	0
109	23	0
109	24	0
109	25	0
109	26	0
109	27	0
109	28	0
109	29	1
109	30	1
109	31	0
109	32	0
109	33	1
109	34	1
109	35	1
109	36	0
109	37	0
109	38	0
109	39	0
109	40	0
109	41	0
109	42	0
109	43	0
109	44	0
109	45	1
109	46	1
109	47	1
109	48	0
109	49	0
109	50	0
109	51	0
109	52	0
109	53	0
109	54	1
109	55	0
