Cell	Group	Amp	Shape	Rep	Spikes
07	8	1	1	1	0
07	8	1	2	1	0
07	8	1	3	1	1
07	8	1	4	1	1
07	8	2	1	1	1
07	8	2	2	1	1
07	8	2	3	1	1
07	8	2	4	1	1
07	8	3	1	1	1
07	8	3	2	1	1
07	8	3	3	1	1
07	8	3	4	1	1
07	8	1	1	2	0
07	8	1	2	2	0
07	8	1	3	2	1
07	8	1	4	2	0
07	8	2	1	2	1
07	8	2	2	2	1
07	8	2	3	2	1
07	8	2	4	2	0
07	8	3	1	2	1
07	8	3	2	2	1
07	8	3	3	2	1
07	8	3	4	2	1
07	8	1	1	3	0
07	8	1	2	3	0
07	8	1	3	3	1
07	8	1	4	3	0
07	8	2	1	3	1
07	8	2	2	3	1
07	8	2	3	3	1
07	8	2	4	3	1
07	8	3	1	3	1
07	8	3	2	3	1
07	8	3	3	3	1
07	8	3	4	3	1
07	8	1	1	4	0
07	8	1	2	4	0
07	8	1	3	4	1
07	8	1	4	4	0
07	8	2	1	4	1
07	8	2	2	4	1
07	8	2	3	4	1
07	8	2	4	4	1
07	8	3	1	4	1
07	8	3	2	4	1
07	8	3	3	4	1
07	8	3	4	4	1
08	8	1	1	1	0
08	8	1	2	1	0
08	8	1	3	1	1
08	8	1	4	1	1
08	8	2	1	1	0
08	8	2	2	1	1
08	8	2	3	1	1
08	8	2	4	1	1
08	8	3	1	1	1
08	8	3	2	1	1
08	8	3	3	1	1
08	8	3	4	1	1
08	8	1	1	2	0
08	8	1	2	2	0
08	8	1	3	2	1
08	8	1	4	2	0
08	8	2	1	2	0
08	8	2	2	2	1
08	8	2	3	2	1
08	8	2	4	2	1
08	8	3	1	2	1
08	8	3	2	2	1
08	8	3	3	2	1
08	8	3	4	2	1
08	8	1	1	3	0
08	8	1	2	3	0
08	8	1	3	3	0
08	8	1	4	3	0
08	8	2	1	3	0
08	8	2	2	3	1
08	8	2	3	3	1
08	8	2	4	3	1
08	8	3	1	3	1
08	8	3	2	3	1
08	8	3	3	3	1
08	8	3	4	3	1
08	8	1	1	4	0
08	8	1	2	4	0
08	8	1	3	4	0
08	8	1	4	4	0
08	8	2	1	4	1
08	8	2	2	4	1
08	8	2	3	4	1
08	8	2	4	4	1
08	8	3	1	4	1
08	8	3	2	4	1
08	8	3	3	4	1
08	8	3	4	4	1
09	8	1	1	1	0
09	8	1	2	1	0
09	8	1	3	1	0
09	8	1	4	1	0
09	8	2	1	1	0
09	8	2	2	1	0
09	8	2	3	1	1
09	8	2	4	1	0
09	8	3	1	1	1
09	8	3	2	1	1
09	8	3	3	1	1
09	8	3	4	1	0
09	8	1	1	2	0
09	8	1	2	2	0
09	8	1	3	2	0
09	8	1	4	2	0
09	8	2	1	2	0
09	8	2	2	2	0
09	8	2	3	2	0
09	8	2	4	2	0
09	8	3	1	2	1
09	8	3	2	2	1
09	8	3	3	2	1
09	8	3	4	2	0
09	8	1	1	3	0
09	8	1	2	3	0
09	8	1	3	3	0
09	8	1	4	3	0
09	8	2	1	3	0
09	8	2	2	3	0
09	8	2	3	3	0
09	8	2	4	3	0
09	8	3	1	3	1
09	8	3	2	3	1
09	8	3	3	3	0
09	8	3	4	3	0
09	8	1	1	4	0
09	8	1	2	4	0
09	8	1	3	4	0
09	8	1	4	4	0
09	8	2	1	4	0
09	8	2	2	4	0
09	8	2	3	4	0
09	8	2	4	4	0
09	8	3	1	4	1
09	8	3	2	4	1
09	8	3	3	4	1
09	8	3	4	4	0
10	8	1	1	1	0
10	8	1	2	1	1
10	8	1	3	1	1
10	8	1	4	1	0
10	8	2	1	1	1
10	8	2	2	1	1
10	8	2	3	1	1
10	8	2	4	1	1
10	8	3	1	1	1
10	8	3	2	1	1
10	8	3	3	1	1
10	8	3	4	1	1
10	8	1	1	2	0
10	8	1	2	2	0
10	8	1	3	2	0
10	8	1	4	2	0
10	8	2	1	2	1
10	8	2	2	2	1
10	8	2	3	2	1
10	8	2	4	2	0
10	8	3	1	2	1
10	8	3	2	2	1
10	8	3	3	2	1
10	8	3	4	2	1
10	8	1	1	3	0
10	8	1	2	3	0
10	8	1	3	3	0
10	8	1	4	3	0
10	8	2	1	3	1
10	8	2	2	3	1
10	8	2	3	3	0
10	8	2	4	3	0
10	8	3	1	3	1
10	8	3	2	3	1
10	8	3	3	3	1
10	8	3	4	3	2
10	8	1	1	4	0
10	8	1	2	4	0
10	8	1	3	4	0
10	8	1	4	4	0
10	8	2	1	4	1
10	8	2	2	4	1
10	8	2	3	4	1
10	8	2	4	4	0
10	8	3	1	4	1
10	8	3	2	4	1
10	8	3	3	4	1
10	8	3	4	4	1
11	8	1	1	1	0
11	8	1	2	1	0
11	8	1	3	1	0
11	8	1	4	1	1
11	8	2	1	1	0
11	8	2	2	1	0
11	8	2	3	1	3
11	8	2	4	1	3
11	8	3	1	1	0
11	8	3	2	1	0
11	8	3	3	1	3
11	8	3	4	1	4
11	8	1	1	2	0
11	8	1	2	2	0
11	8	1	3	2	0
11	8	1	4	2	0
11	8	2	1	2	0
11	8	2	2	2	0
11	8	2	3	2	2
11	8	2	4	2	1
11	8	3	1	2	1
11	8	3	2	2	2
11	8	3	3	2	3
11	8	3	4	2	4
11	8	1	1	3	0
11	8	1	2	3	0
11	8	1	3	3	0
11	8	1	4	3	1
11	8	2	1	3	0
11	8	2	2	3	0
11	8	2	3	3	2
11	8	2	4	3	3
11	8	3	1	3	0
11	8	3	2	3	1
11	8	3	3	3	5
11	8	3	4	3	3
